Company Name,Operating State(s),Production Dates,Total Oil Production,Total Gas Production,Recent Oil Prod.,Recent Gas Prod.,Producing Wells,Estimated Daily Oil Prod.,Estimated Daily Gas Prod.,Estimated Daily Water Prod.
Acco Oil & Gas Company,TX,Jan 1993 - Sep 2001,"6,379 BBLs",100 MCF,No Recent Prod.,No Recent Prod.,0,,,
"Acierto Resources Company, LLC","LA, TX",Feb 2017 - May 2024,"221,976 BBLs","482,010 MCF",,,16,86 BBLs,0 MCF,250 BBLs
Acoma Oil Corporation,"NM, OK, TX",Jul 1990 - May 2024,"251,108 BBLs","1,656,965 MCF",,,5,4 BBLs,37 MCF,33 BBLs
Adams Resources Expl. Corp.,"KS, LA, MS, OK, TX",Dec 1976 - Apr 2020,"3,543,133 BBLs","30,473,352 MCF",No Recent Prod.,No Recent Prod.,0,,,
"Alamo Operating Company, L. C.",TX,Nov 2002 - Aug 2023,"450,335 BBLs","2,668,274 MCF",No Recent Prod.,No Recent Prod.,0,,,
"Alaron Energy, Inc.",TX,Jan 1993 - May 2024,"191,532 BBLs","3,160,781 MCF",No Recent Prod.,No Recent Prod.,0,,,
"Allegro Investments, Inc.",TX,Jan 1993 - Nov 2020,"1,937,446 BBLs","55,576,965 MCF",No Recent Prod.,No Recent Prod.,0,,,
"Alltex Exploration, Inc.","LA, TX",Jul 1987 - May 2024,"1,260,934 BBLs","2,221,060 MCF",,,5,40 BBLs,32 MCF,7 BBLs
"Alpine Resources, Inc.","LA, TX",Oct 1997 - Mar 2008,"2,061,063 BBLs","29,169,334 MCF",No Recent Prod.,No Recent Prod.,0,,,
"Altman Energy, Inc.","KS, OK, TX",Jan 1980 - May 2024,"988,020 BBLs","4,352,542 MCF",,,3,0 BBLs,15 MCF,0 BBLs
Amax Oil & Gas Inc,"AL, LA, NM, OK, TX, WY",Jan 1945 - Nov 2014,"5,903,582 BBLs","108,283,716 MCF",No Recent Prod.,No Recent Prod.,0,,,
Ambrit Energy Corporation,"LA, OK, TX, WY",May 1987 - Jun 2003,"2,752,213 BBLs","4,428,265 MCF",No Recent Prod.,No Recent Prod.,0,,,
Amerada Hess Corporation,"AL, CA, LA, MS, ND, TX, WY",Jan 1963 - Aug 2013,"267,369,717 BBLs","1,180,703,708 MCF",No Recent Prod.,No Recent Prod.,1,,,
"American Energy Op. Corp.,The",TX,Feb 1994 - May 2024,"469,469 BBLs","26,499 MCF",No Recent Prod.,No Recent Prod.,0,,,
"American Energy Sources, Inc.",TX,Jan 1996 - Dec 2008,"41,460 BBLs","1,104,010 MCF",No Recent Prod.,No Recent Prod.,0,,,
Anadarko Austin Chalk Company,TX,Dec 2002 - Feb 2006,"1,684,875 BBLs","16,580,296 MCF",No Recent Prod.,No Recent Prod.,0,,,
"Anaqua Oil & Gas, Inc.",TX,Jan 1993 - Mar 2008,"517,293 BBLs","10,729,404 MCF",No Recent Prod.,No Recent Prod.,0,,,
Anschutz Exploration Corporation,"CA, CO, MT, NM, NY, ND, OK, TX, UT, WY",Jul 1990 - May 2024,"34,593,481 BBLs","111,073,266 MCF",,,260,"53,904 BBLs","141,717 MCF","38,672 BBLs"
Apache Corporation,"CA, CO, KS, LA, MI, MS, NM, ND, OK, SD, TX, UT, WY",Feb 1961 - May 2024,"812,477,456 BBLs","7,161,370,512 MCF",,,"5,992","92,721 BBLs","764,152 MCF","651,297 BBLs"
Arco Oil & Gas Company,"CA, KS, NM, TX, UT",May 1927 - Mar 2006,"29,528,915 BBLs","254,040,557 MCF",No Recent Prod.,No Recent Prod.,8,,,
